path,found total,min(found in parent),max(found in parent)
/a/rdf:RDF/pgterms:ebook/marcrel:cnd/pgterms:agent,2,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cnd/pgterms:agent/pgterms:alias,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:cnd/pgterms:agent/pgterms:birthdate,2,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cnd/pgterms:agent/pgterms:deathdate,2,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cnd/pgterms:agent/pgterms:name,2,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cnd/pgterms:agent/pgterms:webpage,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:com,170,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:com/pgterms:agent,170,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:com/pgterms:agent/pgterms:alias,109,0,4
/a/rdf:RDF/pgterms:ebook/marcrel:com/pgterms:agent/pgterms:birthdate,133,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:com/pgterms:agent/pgterms:deathdate,120,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:com/pgterms:agent/pgterms:name,170,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:com/pgterms:agent/pgterms:webpage,77,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ctb,1069,0,33
/a/rdf:RDF/pgterms:ebook/marcrel:ctb/pgterms:agent,1069,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:ctb/pgterms:agent/pgterms:alias,1068,0,7
/a/rdf:RDF/pgterms:ebook/marcrel:ctb/pgterms:agent/pgterms:birthdate,933,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ctb/pgterms:agent/pgterms:deathdate,932,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ctb/pgterms:agent/pgterms:name,1069,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:ctb/pgterms:agent/pgterms:webpage,714,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:dub,14,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:dub/pgterms:agent,14,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:dub/pgterms:agent/pgterms:alias,19,0,7
/a/rdf:RDF/pgterms:ebook/marcrel:dub/pgterms:agent/pgterms:birthdate,10,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:dub/pgterms:agent/pgterms:deathdate,10,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:dub/pgterms:agent/pgterms:name,14,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:dub/pgterms:agent/pgterms:webpage,6,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:edt,3921,0,7
/a/rdf:RDF/pgterms:ebook/marcrel:edt/pgterms:agent,3911,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:edt/pgterms:agent/pgterms:alias,3438,0,6
/a/rdf:RDF/pgterms:ebook/marcrel:edt/pgterms:agent/pgterms:birthdate,3028,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:edt/pgterms:agent/pgterms:deathdate,2801,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:edt/pgterms:agent/pgterms:name,3911,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:edt/pgterms:agent/pgterms:webpage,1649,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:egr,20,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:egr/pgterms:agent,20,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:egr/pgterms:agent/pgterms:alias,12,0,3
/a/rdf:RDF/pgterms:ebook/marcrel:egr/pgterms:agent/pgterms:birthdate,13,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:egr/pgterms:agent/pgterms:deathdate,15,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:egr/pgterms:agent/pgterms:name,20,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:ill,4165,0,9
/a/rdf:RDF/pgterms:ebook/marcrel:ill/pgterms:agent,4133,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ill/pgterms:agent/pgterms:alias,3316,0,5
/a/rdf:RDF/pgterms:ebook/marcrel:ill/pgterms:agent/pgterms:birthdate,2593,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ill/pgterms:agent/pgterms:deathdate,2407,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ill/pgterms:agent/pgterms:name,4133,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:ill/pgterms:agent/pgterms:webpage,844,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:lbt,4,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:lbt/pgterms:agent,4,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:lbt/pgterms:agent/pgterms:alias,5,0,3
/a/rdf:RDF/pgterms:ebook/marcrel:lbt/pgterms:agent/pgterms:birthdate,3,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:lbt/pgterms:agent/pgterms:deathdate,4,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:lbt/pgterms:agent/pgterms:name,4,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:oth,39,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:oth/pgterms:agent,39,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:oth/pgterms:agent/pgterms:alias,27,0,3
/a/rdf:RDF/pgterms:ebook/marcrel:oth/pgterms:agent/pgterms:birthdate,29,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:oth/pgterms:agent/pgterms:deathdate,29,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:oth/pgterms:agent/pgterms:name,39,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:oth/pgterms:agent/pgterms:webpage,21,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pbl,8,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:pbl/pgterms:agent,8,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:pbl/pgterms:agent/pgterms:alias,5,0,5
/a/rdf:RDF/pgterms:ebook/marcrel:pbl/pgterms:agent/pgterms:birthdate,2,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pbl/pgterms:agent/pgterms:deathdate,2,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pbl/pgterms:agent/pgterms:name,8,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:pbl/pgterms:agent/pgterms:webpage,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pht,6,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pht/pgterms:agent,6,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:pht/pgterms:agent/pgterms:alias,2,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pht/pgterms:agent/pgterms:birthdate,5,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pht/pgterms:agent/pgterms:deathdate,4,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:pht/pgterms:agent/pgterms:name,6,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:pht/pgterms:agent/pgterms:webpage,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:prf,80,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:prf/pgterms:agent,80,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:prf/pgterms:agent/pgterms:alias,41,0,4
/a/rdf:RDF/pgterms:ebook/marcrel:prf/pgterms:agent/pgterms:birthdate,25,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:prf/pgterms:agent/pgterms:deathdate,25,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:prf/pgterms:agent/pgterms:name,80,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:prf/pgterms:agent/pgterms:webpage,10,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:prt,2,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:prt/pgterms:agent,2,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:prt/pgterms:agent/pgterms:alias,2,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:prt/pgterms:agent/pgterms:birthdate,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:prt/pgterms:agent/pgterms:deathdate,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:prt/pgterms:agent/pgterms:name,2,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:res,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:res/pgterms:agent,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:res/pgterms:agent/pgterms:birthdate,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:res/pgterms:agent/pgterms:name,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:res/pgterms:agent/pgterms:webpage,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:trc,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:trc/pgterms:agent,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:trc/pgterms:agent/pgterms:alias,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:trc/pgterms:agent/pgterms:birthdate,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:trc/pgterms:agent/pgterms:deathdate,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:trc/pgterms:agent/pgterms:name,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:trl,3674,0,5
/a/rdf:RDF/pgterms:ebook/marcrel:trl/pgterms:agent,3667,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:trl/pgterms:agent/pgterms:alias,2915,0,6
/a/rdf:RDF/pgterms:ebook/marcrel:trl/pgterms:agent/pgterms:birthdate,2341,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:trl/pgterms:agent/pgterms:deathdate,2245,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:trl/pgterms:agent/pgterms:name,3667,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:trl/pgterms:agent/pgterms:webpage,1092,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:unk,10,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:unk/pgterms:agent,10,1,1
